Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (UTC),Year,Month,Day,Time (UTC),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 0:00,2021,5,1,0:00,4.2,,-2.2,,63,,0,,32,,12,,,,99.67,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 1:00,2021,5,1,1:00,3.3,,-1.7,,69,,0,,32,,9,,,,99.65,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 2:00,2021,5,1,2:00,2.9,,-1.4,,73,,0,,31,,7,,,,99.66,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 3:00,2021,5,1,3:00,2.6,,-0.5,,80,,0,,33,,3,,,,99.66,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 4:00,2021,5,1,4:00,2,,-1.7,,76,,0,,29,,3,,,,99.64,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 5:00,2021,5,1,5:00,-0.7,,-1.4,,95,,0,,34,,6,,,,99.59,,,,-3,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 6:00,2021,5,1,6:00,-2.7,,-4.1,,90,,0,,,,0,,,,99.56,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 7:00,2021,5,1,7:00,-3.3,,-4.5,,91,,0,,14,,2,,,,99.47,,,,-4,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 8:00,2021,5,1,8:00,-4,,-5.1,,91,,0,,14,,2,,,,99.43,,,,-5,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 9:00,2021,5,1,9:00,-2.5,,-4.2,,88,,0,,7,,5,,,,99.35,,,,-4,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 10:00,2021,5,1,10:00,-1.4,,-3.1,,88,,0,,6,,5,,,,99.28,,,,-3,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 11:00,2021,5,1,11:00,0.4,,-2.4,,82,,0,,11,,5,,,,99.2,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 12:00,2021,5,1,12:00,2.3,,-1.2,,78,,0,,10,,7,,,,99.16,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 13:00,2021,5,1,13:00,3,,-1.8,,71,,0,,16,,11,,,,99.08,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 14:00,2021,5,1,14:00,3.8,,0.1,,77,,0.3,,14,,10,,,,98.96,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 15:00,2021,5,1,15:00,4.6,,-0.7,,69,,0,,14,,12,,,,98.73,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 16:00,2021,5,1,16:00,4.8,,-0.7,,68,,0,,13,,14,,,,98.51,,,,,,NA
-84.52,46.48,SAULT STE. MARIE AIRPORT,6057593,2021-05-01 17:00,2021,5,1,17:00,6.4,,0.1,,64,,0,,11,,14,,,,98.33,,,,,,NA
